"Year","lag0_Unemp.Rt","lag0_Unemp.Rt_Ydf","lag0_BBB.Rt","lag0_BBB.Rt_Ydf","lag0_Mort.Rt","lag0_Mort.Rt_Ydf","lag0_Prime.Rt","lag0_Prime.Rt_Ydf","lag0_DJIA","lag0_DJIA_Ygr","lag0_VIX","lag0_VIX_Ygr","lag0_RGDP.Ygr","lag0_NGDP.Ygr","lag0_NDI.Ygr","lag0_RDI.Ygr","lag0_CPI.Ygr","lag0_BBB.Spd","lag0_BBB.Spd_Ydf","lag1_Unemp.Rt","lag1_Unemp.Rt_Ydf","lag1_BBB.Rt","lag1_BBB.Rt_Ydf","lag1_Mort.Rt","lag1_Mort.Rt_Ydf","lag1_Prime.Rt","lag1_Prime.Rt_Ydf","lag1_DJIA","lag1_DJIA_Ygr","lag1_VIX","lag1_VIX_Ygr","lag1_RGDP.Ygr","lag1_NGDP.Ygr","lag1_NDI.Ygr","lag1_RDI.Ygr","lag1_CPI.Ygr","lag1_BBB.Spd","lag1_BBB_Spd_Ydf"
2016,4.7,-0.3,4.075,-0.492,3.812666667,-0.088166666,3.545081967,0.254759386,23276.72827,10.31137536,22.51,-7.708077081,1.956254131,3.548302127,1.906973021,3.375976221,1.810473949,1.936311475,-0.440204654,5,-0.7,4.567,0.373,3.900833333,-0.0645,3.290322581,0.040322581,21100.93197,-1.510660139,24.39,-7.085714286,1.878085095,2.999061733,3.032152696,3.47598622,0.4046903,2.376516129,0.458483871
2017,4.5,-0.2,4.6,0.525,4.5,0.687333333,4.3,0.754918033,24421.8,4.91938436,19.4,-13.81608174,2.3,4.5,4.8,2.7,2.3,1.7,-0.236311475,4.7,-0.3,4.075,-0.492,3.812666667,-0.088166666,3.545081967,0.254759386,23276.72827,10.31137536,22.51,-7.708077081,1.956254131,3.548302127,1.906973021,3.375976221,1.810473949,1.936311475,-0.440204654
2018,4.4,-0.1,5,0.4,5,0.5,5,0.7,25667.6,5.101180093,19.4,0,2.3,4.5,4.6,2.4,2.4,1.7,0,4.5,-0.2,4.6,0.525,4.5,0.687333333,4.3,0.754918033,24421.8,4.91938436,19.4,-13.81608174,2.3,4.5,4.8,2.7,2.3,1.7,-0.236311475
2019,4.7,0.3,5.2,0.2,5.2,0.2,5.9,0.9,26874.3,4.701257617,20.3,4.639175258,2,4.1,4.2,2.2,2.2,1.7,0,4.4,-0.1,5,0.4,5,0.5,5,0.7,25667.6,5.101180093,19.4,0,2.3,4.5,4.6,2.4,2.4,1.7,0
