"Period","Zscore"
1998,-0.156387799167153
1999,-0.323201604233072
2000,-0.203005498739281
2001,-1.40707756866775
2002,-0.967845670908808
2003,-0.0382308986915953
2004,1.15742409509871
2005,1.63898886793925
2006,2.38999194374375
2007,0.549474322320724
2008,-0.86641747551263
2009,-1.65769942137781
2010,0.357581735610769
2011,0.345306169146308
2012,-0.577091273269434
2013,-0.658335398230334
2014,0.0742705388590029
2015,0.583028981152676
2016,-0.120341459293644
